FBgn0031081,Neprilysin 3,CG9565,Dmel\Nep3,dNEP3
FBgn0051146,Neuroligin 1,CG31146,Dmel\Nlg1,"dnlg1, neuroligin"
FBgn0015568,α-Esterase-1,CG1031,Dmel\α-Est1,"αE1, fragment A, Est1, A, DmαE1"
FBgn0015571,α-Esterase-3,CG1257,Dmel\α-Est3,"αE3, α-Ests, DmαE3"
FBgn0015572,α-Esterase-4,CG1082,Dmel\α-Est4,"αE4, DmαE4"
FBgn0015831,Rtnl2,CG1279,Dmel\Rtnl2,"trop, tropomyosin-like"
FBgn0015574,α-Esterase-6,CG1108,Dmel\α-Est6,"αE6, Esterase-6, DmαE6"
FBgn0015575,α-Esterase-7,CG1112,Dmel\α-Est7,"αE7, Est23, alpha-Esterase-7, ali, αest-7"
FBgn0017456,Ubiquitin conjugating enzyme 84D,CG12799,Dmel\Ubc84D,ubc
FBgn0015576,α-Esterase-8,CG1121,Dmel\α-Est8,"αE8, DmαE8, Est8"
FBgn0037506,Mitochondrial morphology and cristae structure 1,CG1287,Dmel\Mics1,
FBgn0015577,α-Esterase-9,CG1128,Dmel\α-Est9,"αE9,  Dm_3R:18691 , DmαE9"
FBgn0015569,α-Esterase-10,CG1131,Dmel\α-Est10,"αE10, Esterase-10, α-Ests, DmαE10"
FBgn0012001,transfer RNA:Valine-CAC 2-4,CR31502,Dmel\tRNA:Val-CAC-2-4,tRNAVal3b
FBgn0037504,,CG1142,Dmel\CG1142,
FBgn0043853,small Cajal body-specific RNA : MeU5-C46,CR32863,Dmel\scaRNA:MeU5-C46,"U85 scaRNA,  snoRNA:U85 , U85, dU85,  snoRNA:MeU5-C46"
FBgn0012000,transfer RNA:Valine-CAC 2-3,CR31500,Dmel\tRNA:Val-CAC-2-3,tRNAVal3b
FBgn0040670,enhancer of yellow 2b,CG14612,Dmel\e(y)2b,
FBgn0037472,,CG10098,Dmel\CG10098,
FBgn0051248,,CG31248,Dmel\CG31248,
FBgn0051494,transfer RNA:Glycine-TCC 1-1,CR31494,Dmel\tRNA:Gly-TCC-1-1,
FBgn0051493,,CG31493,Dmel\CG31493,
FBgn0037475,48 related 1,CG33323,Dmel\Fer1,
FBgn0037478,,CG2656,Dmel\CG2656,
FBgn0011020,Spindle assembly abnormal 4,CG10061,Dmel\Sas-4,"DSas-4, Sas4, l(3)s2214"
FBgn0002306,stranded at second,CG2507,Dmel\sas,"l(3)84Cd, rfd"
FBgn0037483,,CG14609,Dmel\CG14609,
FBgn0037487,thawb,CG14608,Dmel\thw,
FBgn0037488,,CG14607,Dmel\CG14607,
FBgn0037490,,CG10053,Dmel\CG10053,
FBgn0037492,,CG10050,Dmel\CG10050,
FBgn0028400,Synaptotagmin 4,CG10047,Dmel\Syt4,"SytIV, Synaptotagmin IV, syt 4"
FBgn0037493,,CR10032,Dmel\CR10032,
FBgn0045843,Rac GTPase activating protein at 84C,CG2595,Dmel\RacGAP84C,"rnRacGAP, P1.7, RotundRacGAP"
FBgn0051496,,CG31496,Dmel\CG31496,
FBgn0051501,nuclear export factor 4,CG31501,Dmel\nxf4,
FBgn0004172,Male-specific RNA 84Da,CG17946,Dmel\Mst84Da,
FBgn0004173,Male-specific RNA 84Db,CG17934,Dmel\Mst84Db,
FBgn0004174,Male-specific RNA 84Dc,CG17945,Dmel\Mst84Dc,
FBgn0004175,Male-specific RNA 84Dd,CG17935,Dmel\Mst84Dd,Mst
FBgn0037500,,CG17944,Dmel\CG17944,
FBgn0037498,,CG10029,Dmel\CG10029,
FBgn0001112,Glucose dehydrogenase,CG1152,Dmel\Gld,Go
FBgn0011282,Odorant-binding protein 84a,CG1176,Dmel\Obp84a,"Pbprp4, 84a"
FBgn0037491,,CG1227,Dmel\CG1227,
FBgn0037489,,CG1234,Dmel\CG1234,
FBgn0037486,,CG14605,Dmel\CG14605,
FBgn0037485,,CG14606,Dmel\CG14606,
FBgn0037482,,CG10055,Dmel\CG10055,
FBgn0037481,MAGE,CG10059,Dmel\MAGE,
FBgn0037477,,CG14610,Dmel\CG14610,
FBgn0051491,transfer RNA:Glycine-TCC 1-2,CR31491,Dmel\tRNA:Gly-TCC-1-2,
FBgn0037473,,CG10068,Dmel\CG10068,
FBgn0014863,Muscle LIM protein at 84B,CG1019,Dmel\Mlp84B,DmLIM-3
FBgn0000071,Amalgam,CG2198,Dmel\Ama,
FBgn0000439,Deformed,CG2189,Dmel\Dfd,DmDfd
FBgn0026162,transfer RNA:Lysine-TTT 2-1,CR31490,Dmel\tRNA:Lys-TTT-2-1,tRNA:K5:84ABd
FBgn0026164,transfer RNA:Lysine-TTT 2-3,CR31489,Dmel\tRNA:Lys-TTT-2-3,tRNA:K5:84ABb
FBgn0000003,Signal recognition particle 7SL RNA CR32864,CR32864,Dmel\7SLRNA:CR32864,"7SL RNA, SRP RNA, 7SLRNA"
FBgn0001077,fushi tarazu,CG2047,Dmel\ftz,Dm-Ftz
FBgn0024289,Sorbitol dehydrogenase 1,CG1982,Dmel\Sodh-1,"Sdh-1, Sodh1"
FBgn0026563,,CG1979,Dmel\CG1979,
FBgn0037463,don juan like,CG1984,Dmel\djl,
FBgn0037464,Male-specific transcript 84B,CG1988,Dmel\Mst84B,
FBgn0037466,,CG1965,Dmel\CG1965,
FBgn0037468,,CG1943,Dmel\CG1943,
FBgn0037469,Dephospho-CoA kinase,CG1939,Dmel\Dpck,
FBgn0003884,α-Tubulin at 84B,CG1913,Dmel\αTub84B,"α-tubulin, tubulin, α1-tubulin, α tubulin, α-Tub"
FBgn0037470,Tailor,CG1091,Dmel\Tailor,
FBgn0010774,RNA and export factor binding protein 1,CG1101,Dmel\Ref1,"Aly, l(3)02267"
FBgn0037467,UFM1 specific ligase 1,CG1104,Dmel\Ufl1,
FBgn0037465,,CG1105,Dmel\CG1105,
FBgn0003339,Sex combs reduced,CG1030,Dmel\Scr,"Msc, Multiple sex comb"
FBgn0011904,transfer RNA:Lysine-TTT 2-4,CR31486,Dmel\tRNA:Lys-TTT-2-4,
FBgn0026163,transfer RNA:Lysine-TTT 2-2,CR31487,Dmel\tRNA:Lys-TTT-2-2,tRNA:K5:84ABc
FBgn0051485,transfer RNA:Lysine-CTT 2-1 pseudogene,CR31485,Dmel\tRNA:Lys-CTT-2-1Ψ,
FBgn0000166,bicoid,CG1034,Dmel\bcd,
FBgn0004053,zerknullt,CG1046,Dmel\zen,"z1, zerknult"
FBgn0004054,zerknullt-related,CG1048,Dmel\zen2,z2
FBgn0037448,,CG15186,Dmel\CG15186,
FBgn0037449,,CG15185,Dmel\CG15185,
FBgn0046873,PFTAIRE-interacting factor 2,CG31483,Dmel\Pif2,PIF-2
FBgn0051482,,CG31482,Dmel\CG31482,
FBgn0037462,sungrazer,CG15179,Dmel\sunz,
FBgn0051286,,CG31286,Dmel\CG31286,
FBgn0010355,TBP-associated factor 1,CG17603,Dmel\Taf1,"dTAFII250, dTAFII230, TAFII250, Taf250, TAFII230"
FBgn0004777,Ccp84Ag,CG2342,Dmel\Ccp84Ag,
FBgn0004780,Ccp84Ad,CG2341,Dmel\Ccp84Ad,
FBgn0004783,Ccp84Aa,CG2360,Dmel\Ccp84Aa,
FBgn0004782,Ccp84Ab,CG1252,Dmel\Ccp84Ab,
FBgn0004781,Ccp84Ac,CG1327,Dmel\Ccp84Ac,
FBgn0004779,Ccp84Ae,CG1330,Dmel\Ccp84Ae,
FBgn0004778,Ccp84Af,CG1331,Dmel\Ccp84Af,
FBgn0024912,O-6-alkylguanine-DNA alkyltransferase,CG1303,Dmel\agt,
FBgn0026566,,CG1307,Dmel\CG1307,BG:DS00004.12
FBgn0026565,Argininosuccinate synthase,CG1315,Dmel\Ass,BG:DS00004.14
FBgn0037461,,CG15177,Dmel\CG15177,
FBgn0037460,solwind,CG15178,Dmel\sowi,
FBgn0037456,,CG1138,Dmel\CG1138,
FBgn0053202,defective proboscis extension response 11,CG33202,Dmel\dpr11,
FBgn0037454,,CG1137,Dmel\CG1137,
FBgn0011919,transfer RNA:Methionine-CAT 1-5,CR31310,Dmel\tRNA:Met-CAT-1-5,
FBgn0037429,Osiris 19,CG15189,Dmel\Osi19,
FBgn0037430,Osiris 20,CG15188,Dmel\Osi20,
FBgn0037431,,CG17917,Dmel\CG17917,
FBgn0037432,,CG10298,Dmel\CG10298,
FBgn0037433,,CG17919,Dmel\CG17919,
FBgn0037435,,CG18048,Dmel\CG18048,
FBgn0037436,Hormone receptor 83,CG10296,Dmel\Hr83,"DHR83, NR2E5"
FBgn0037439,,CG10286,Dmel\CG10286,
FBgn0010282,Transcription factor IIFα,CG10281,Dmel\TfIIFα,TFIIF
FBgn0037442,godzilla E3 ubiquitin protein ligase,CG10277,Dmel\gzl,godzilla
FBgn0037446,Zinc-finger protein,CG10267,Dmel\Zif,
FBgn0037447,Neurochondrin,CG2330,Dmel\Neurochondrin,
FBgn0037445,,CG9727,Dmel\CG9727,
FBgn0037443,Dementin,CG1021,Dmel\Dmtn,
FBgn0037440,Carnitine O-Acetyl-Transferase,CG1041,Dmel\CRAT,
FBgn0037512,,CG2616,Dmel\CG2616,
FBgn0037514,,CG10919,Dmel\CG10919,
FBgn0037515,Serine protease 7,CG3066,Dmel\Sp7,"MP2, PAE1, Melanization Protease 2"
FBgn0037517,,CG10086,Dmel\CG10086,
FBgn0037518,,CG2641,Dmel\CG2641,
FBgn0051472,sugarlethal,CG31472,Dmel\sgll,
FBgn0051473,,CG31473,Dmel\CG31473,
FBgn0037526,"Arginyl-tRNA synthetase, mitochondrial",CG10092,Dmel\ArgRS-m,
FBgn0024909,TBP-associated factor 7,CG2670,Dmel\Taf7,"TFIID, Taf55"
FBgn0014931,,CG2678,Dmel\CG2678,
FBgn0002542,lodestar,CG2684,Dmel\lds,"factor 2, Horka, Negative transcription elongation factor 2, Fs(3)Hor"
FBgn0000504,doublesex,CG11094,Dmel\dsx,Dmdsx
FBgn0037531,,CG10445,Dmel\CG10445,
FBgn0014930,,CG2846,Dmel\CG2846,
FBgn0004901,Phosphoribosylamidotransferase,CG2867,Dmel\Prat,
FBgn0037530,ER membrane protein complex subunit 1,CG2943,Dmel\EMC1,
FBgn0037529,mitochondrial ribosomal protein S9,CG2957,Dmel\mRpS9,
FBgn0037521,,CG2993,Dmel\CG2993,
FBgn0037520,,CG18268,Dmel\CG18268,
FBgn0037519,,CG3014,Dmel\CG3014,
FBgn0042101,,CG18744,Dmel\CG18744,
FBgn0042103,,CG18746,Dmel\CG18746,
FBgn0042105,,CG18748,Dmel\CG18748,
FBgn0042102,,CG18745,Dmel\CG18745,
FBgn0042104,,CG18747,Dmel\CG18747,
FBgn0037516,,CG11286,Dmel\CG11286,
FBgn0037513,pyd3,CG3027,Dmel\pyd3,βAS
FBgn0010401,Os-C,CG3250,Dmel\Os-C,
FBgn0037535,Phosphatidylinositol glycan anchor biosynthesis class H,CG14463,Dmel\PIG-H,
FBgn0037536,,CG2698,Dmel\CG2698,
FBgn0037538,,CG3223,Dmel\CG3223,
FBgn0037540,PSEA-binding protein 95kD,CG2702,Dmel\Pbp95,"DmSNAP190, DmPBP"
FBgn0037543,,CG10903,Dmel\CG10903,
FBgn0010812,uncoordinated 45,CG2708,Dmel\unc-45,"Tom34, dunc-45, l(3)03692, lincRNA.721, Unc45"
FBgn0037546,"muscarinic Acetylcholine Receptor, B-type",CG7918,Dmel\mAChR-B,B-type mAChR
FBgn0037547,,CG7910,Dmel\CG7910,
FBgn0037548,,CG7900,Dmel\CG7900,
FBgn0037551,ADP ribosylation factor-like 8,CG7891,Dmel\Arl8,"Gie, GTPase indispensable for equal segregation of chromosomes"
FBgn0037552,,CG7800,Dmel\CG7800,
FBgn0037553,,CG18249,Dmel\CG18249,
FBgn0037554,DNA polymerase iota,CG7602,Dmel\PolI,"DNApol-iota, drad30B, DNApol-ι"
FBgn0040528,,CG15864,Dmel\CG15864,
FBgn0037556,,CG9636,Dmel\CG9636,
FBgn0001138,grain,CG9656,Dmel\grn,"GATAc, gra, dGATAc, l(3)84Fa, Gata-c"
FBgn0011959,transfer RNA:Arginine-ACG 1-10,CR31581,Dmel\tRNA:Arg-ACG-1-10,
FBgn0011960,transfer RNA:Arginine-ACG 1-9,CR31566,Dmel\tRNA:Arg-ACG-1-9,
FBgn0011961,transfer RNA:Arginine-ACG 1-8,CR31582,Dmel\tRNA:Arg-ACG-1-8,
FBgn0011962,transfer RNA:Arginine-ACG 1-7,CR31585,Dmel\tRNA:Arg-ACG-1-7,
FBgn0011963,transfer RNA:Arginine-ACG 1-6,CR31584,Dmel\tRNA:Arg-ACG-1-6,
FBgn0051583,transfer RNA:Asparagine-GTT 1-10,CR31583,Dmel\tRNA:Asn-GTT-1-10,tRNA:N5:84F
FBgn0037544,,CG11035,Dmel\CG11035,
FBgn0037541,,CG2747,Dmel\CG2747,
FBgn0001255,Ecdysone-inducible gene E3,CG2723,Dmel\ImpE3,Imp-E3
FBgn0037539,,CG10435,Dmel\CG10435,
FBgn0040524,,CG11052,Dmel\CG11052,
FBgn0037537,,CG2767,Dmel\CG2767,
FBgn0037534,ELOVL fatty acid elongase 7,CG2781,Dmel\Elovl7,"dELOVL, ELOVL"
FBgn0037533,CD98 heavy chain,CG2791,Dmel\CD98hc,
FBgn0014861,Minichromosome maintenance 2,CG7538,Dmel\Mcm2,"DmMCM2, MCM2-7"
FBgn0010433,atonal,CG7508,Dmel\ato,
FBgn0037562,,CG11671,Dmel\Nazo,
FBgn0051464,,CG31464,Dmel\CG31464,
FBgn0051463,,CG31463,Dmel\CG31463,
FBgn0037566,mitochondrial ribosomal protein L1,CG7494,Dmel\mRpL1,
FBgn0037572,,CG11698,Dmel\CG11698,
FBgn0037573,,CG7483,Dmel\CG7483,"eIF4AIII, eIF4A3, l(3)84Fi, eIF4A-III"
FBgn0062412,Copper transporter 1B,CG7459,Dmel\Ctr1B,
FBgn0037576,Odorant receptor 85a,CG7454,Dmel\Or85a,85a
FBgn0037577,,CG7443,Dmel\CG7443,
FBgn0004908,ADP ribosylation factor-like 2,CG7435,Dmel\Arl2,"Arf84F, Arl84F, Q06849"
FBgn0037579,Cytochrome c oxidase subunit 7A-like,CG18193,Dmel\COX7AL,
FBgn0037580,Dipeptidyl aminopeptidase III,CG7415,Dmel\DppIII,Dipeptidyl-peptidase III
FBgn0037581,,CG7352,Dmel\CG7352,
FBgn0020249,steamer duck,CG7954,Dmel\stck,"PINCH, pin85A, stk, d-pinch, dpin"
FBgn0037584,,CG7963,Dmel\CG7963,
FBgn0037589,Odorant-binding protein 85a,CG11732,Dmel\Obp85a,
FBgn0037583,,CG9684,Dmel\CG9684,
FBgn0037578,Polynucleotide kinase 3'-phosphatase,CG9601,Dmel\PNKP,
FBgn0040529,Cytochrome c oxidase subunit 7A,CG9603,Dmel\COX7A,
FBgn0003129,Pox meso,CG9610,Dmel\Poxm,Pox-m
FBgn0037574,Coenzyme Q biosynthesis protein 2,CG9613,Dmel\Coq2,
FBgn0037571,,CG11694,Dmel\CG11694,
FBgn0037570,,CG11693,Dmel\CG11693,
FBgn0037569,tex,CG9615,Dmel\tex,
FBgn0037565,,CG9626,Dmel\CG9626,
FBgn0037563,,CG11672,Dmel\CG11672,
FBgn0037561,,CG9630,Dmel\CG9630,
FBgn0010173,Replication Protein A 70,CG9633,Dmel\RpA-70,"RpA70, RPA, RPA1, RP-A, dmrpa1"
FBgn0037592,,CG11737,Dmel\CG11737,TMEM135
FBgn0051454,,CG31454,Dmel\CG31454,
FBgn0051259,,CG31259,Dmel\CG31259,
FBgn0037594,Odorant receptor 85d,CG11742,Dmel\Or85d,
FBgn0051460,,CG31460,Dmel\CG31460,
FBgn0037602,SRA stem-loop interacting RNA binding protein 2,CG8021,Dmel\SLIRP2,
FBgn0037603,Sys1 golgi trafficking protein,CG11753,Dmel\Sys1,
FBgn0037606,,CG8032,Dmel\CG8032,PAOX
FBgn0037607,,CG8036,Dmel\CG8036,transketolase
FBgn0012024,transfer RNA:Tyrosine-GTA 1-8,CR31435,Dmel\tRNA:Tyr-GTA-1-8,
FBgn0012025,transfer RNA:Tyrosine-GTA 1-7,CR31433,Dmel\tRNA:Tyr-GTA-1-7,
FBgn0012026,transfer RNA:Tyrosine-GTA 1-6,CR31434,Dmel\tRNA:Tyr-GTA-1-6,
FBgn0000447,Dihydroorotate dehydrogenase,CG9741,Dmel\Dhod,"l(3)s3512, DHODH"
FBgn0024326,MAP kinase kinase 4,CG9738,Dmel\Mkk4,"dMKK4, D-MKK4, JNKK2, SEK1/MKK4"
FBgn0037601,Cyp313b1,CG9716,Dmel\Cyp313b1,
FBgn0012027,transfer RNA:Tyrosine-GTA 1-5,CR31552,Dmel\tRNA:Tyr-GTA-1-5,
FBgn0012028,transfer RNA:Tyrosine-GTA 1-4,CR31387,Dmel\tRNA:Tyr-GTA-1-4,
FBgn0026399,Odorant receptor 85e,CG9700,Dmel\Or85e,"Dor104, Odorant receptor 104"
FBgn0051450,mitochondrial ribosomal protein S18A,CG31450,Dmel\mRpS18A,mRpS18c
FBgn0051453,pachytene checkpoint 2,CG31453,Dmel\pch2,
FBgn0037591,Odorant receptor 85c,CG17911,Dmel\Or85c,85c
FBgn0037590,Odorant receptor 85b,CG11735,Dmel\Or85b,"85b, DmOr85b"
FBgn0037608,mitochondrial ribosomal protein L19,CG8039,Dmel\mRpL19,
FBgn0037610,,CG8043,Dmel\CG8043,Iba57
FBgn0037611,,CG11755,Dmel\CG11755,
FBgn0037612,,CG8112,Dmel\CG8112,ACAT1
FBgn0037614,Transmembrane protein 216,CG8116,Dmel\TMEM216,
FBgn0037615,,CG11760,Dmel\CG11760,
FBgn0037616,,CG8136,Dmel\CG8136,
FBgn0037617,numerous disordered muscles,CG8145,Dmel\nom,
FBgn0037618,ouija board,CG11762,Dmel\ouib,
FBgn0037619,,CG8159,Dmel\CG8159,
FBgn0037622,,CG8202,Dmel\CG8202,
FBgn0037624,,CG8223,Dmel\CG8223,
FBgn0037626,,CG8236,Dmel\CG8236,
FBgn0037630,Ionotropic receptor 85a,CG11775,Dmel\Ir85a,
FBgn0037632,Chaperonin containing TCP1 subunit 7,CG8351,Dmel\CCT7,"Tcp-1eta, Tcp-1η"
FBgn0037634,hinge2,CG8359,Dmel\hng2,
FBgn0040532,,CG8369,Dmel\CG8369,
FBgn0037638,,CG8379,Dmel\CG8379,
FBgn0011966,transfer RNA:Arginine-TCG 2-3,CR31443,Dmel\tRNA:Arg-TCG-2-3,
FBgn0037637,Iron-sulfur cluster assembly enzyme,CG9836,Dmel\IscU,
FBgn0037633,,CG9839,Dmel\CG9839,
FBgn0053189,,CG33189,Dmel\CG33189,
FBgn0053191,,CG33191,Dmel\CG33191,
FBgn0037627,,CG13318,Dmel\CG13318,
FBgn0037625,,CG11768,Dmel\CG11768,
FBgn0037623,,CG9801,Dmel\CG9801,
FBgn0037621,Motif 1 Binding Protein,CG9797,Dmel\M1BP,
FBgn0037620,ranshi,CG9793,Dmel\ranshi,
FBgn0037613,Cyclin-dependent kinase subunit 85A,CG9790,Dmel\Cks85A,
FBgn0001180,hunchback,CG9786,Dmel\hb,Rg-pbx
FBgn0053325,,CG33325,Dmel\CG33325,
FBgn0037609,,CG9773,Dmel\CG9773,
FBgn0037643,"Succinyl-coenzyme A synthetase β subunit, ADP-forming",CG11963,Dmel\ScsβA,"skap, SkpA Associated Protein, A-Sβ"
FBgn0037646,Carbonic anhydrase β,CG11967,Dmel\CAHβ,"DmBCA, β-carbonic anhydrase"
FBgn0027503,,CG11970,Dmel\CG11970,BcDNA:LD23876
FBgn0037648,,CG11975,Dmel\CG11975,
FBgn0037650,,CG11977,Dmel\CG11977,
FBgn0037652,,CG11980,Dmel\CG11980,
FBgn0037653,Iruka,CG11982,Dmel\Iru,
FBgn0037654,,CG11983,Dmel\CG11983,
FBgn0037656,,CG11986,Dmel\CG11986,
FBgn0037657,hyrax,CG11990,Dmel\hyx,"Parafibromin, Cdc73"
FBgn0028708,Mst85C,CG11993,Dmel\Mst85C,
FBgn0037659,Lysine demethylase 2,CG11033,Dmel\Kdm2,"dKDM2, Lysine (K)-specific demethylase 2, JHDM1"
FBgn0037661,Adenosine deaminase,CG11994,Dmel\Ada,
FBgn0037662,,CG11997,Dmel\CG11997,
FBgn0037664,,CG8420,Dmel\CG8420,
FBgn0037665,Sulfotransferase 2,CG16733,Dmel\St2,
FBgn0037666,,CR16735,Dmel\CR16735,
FBgn0037667,,CG16734,Dmel\CG16734,
FBgn0037670,Insulator binding factor 1,CG8436,Dmel\Ibf1,
FBgn0037671,ATPase H+ transporting accessory protein 2,CG8444,Dmel\ATP6AP2,"VhaM8.9, VhaPRR, VhaM8-9, dPRR"
FBgn0010803,Tryptophanyl-tRNA synthetase,CG9735,Dmel\TrpRS,"Aats-trp, WRS-85D"
FBgn0037672,salivary gland-expressed bHLH,CG12952,Dmel\sage,
FBgn0037669,Insulator binding factor 2,CG9740,Dmel\Ibf2,
FBgn0037668,,CG16736,Dmel\CG16736,
FBgn0000412,D1 chromosomal protein,CG9745,Dmel\D1,
FBgn0003165,pumilio,CG9755,Dmel\pum,"ovarette, pkl, pumuckel, bem, ovt"
FBgn0037660,beag,CG18005,Dmel\beag,
FBgn0010222,NAD-dependent methylenetetrahydrofolate dehydrogenase,CG18466,Dmel\Nmdmc,DNMDMC
FBgn0002932,neuralized,CG11988,Dmel\neur,"neu, Neuralised"
FBgn0040534,Splicing factor 3b subunit 5,CG11985,Dmel\Sf3b5,
FBgn0037655,Potassium channel modulatory factor 1,CG11984,Dmel\Kcmf1,
FBgn0026380,Proteasome β3 subunit,CG11981,Dmel\Prosβ3,β3
FBgn0051100,,CG31100,Dmel\CG31100,
FBgn0037647,Ras-related GTP binding A/B,CG11968,Dmel\RagA-B,"RagA, dRagB"
FBgn0037644,,CG11964,Dmel\CG11964,
FBgn0037675,Heterochromatin Protein 1e,CG8120,Dmel\HP1e,
FBgn0037680,pasiflora 2,CG8121,Dmel\pasi2,
FBgn0037683,,CG18473,Dmel\CG18473,
FBgn0037684,Serine racemase,CG8129,Dmel\Srr,
FBgn0037685,Odorant receptor 85f,CG16755,Dmel\Or85f,"DmOr85f, 85f"
FBgn0037687,,CG8132,Dmel\CG8132,
FBgn0037689,,CG8135,Dmel\CG8135,
FBgn0011740,α-Mannosidase class II a,CG18802,Dmel\α-Man-IIa,"dGMII, α-Man-II, GMII, alpha-Man-II, Golgi α-mannosidase II"
FBgn0037697,Glutathione S transferase Z2,CG9363,Dmel\GstZ2,
FBgn0037696,Glutathione S transferase Z1,CG9362,Dmel\GstZ1,
FBgn0037690,TWIK-related acid-sensitive K+ channel 7,CG9361,Dmel\Task7,dTASK-7
FBgn0003889,β-Tubulin at 85D,CG9359,Dmel\βTub85D,"β-tubulin, β2-tubulin, β2 tubulin, B2t, β2"
FBgn0037688,,CG9356,Dmel\CG9356,
FBgn0037686,Ribosomal protein L34b,CG9354,Dmel\RpL34b,RpL34
FBgn0000723,FER tyrosine kinase,CG8874,Dmel\FER,"Fps85D, dfps85D, DmHD-179, Dfer, FPS"
FBgn0037679,Another Drosophila Unc-51-like kinase,CG8866,Dmel\Aduk,
FBgn0037678,,CG16749,Dmel\CG16749,SP91
FBgn0037677,,CG12951,Dmel\CG12951,SP87
FBgn0037676,,CG8861,Dmel\CG8861,
FBgn0037700,,CG8149,Dmel\CG8149,
FBgn0014022,Rlb1,CG8161,Dmel\Rlb1,Rlb
FBgn0037703,JmjC domain-containing histone demethylase 2,CG8165,Dmel\JHDM2,KDM3
FBgn0037702,,CG8176,Dmel\CG8176,
FBgn0037707,RNA-binding protein S1,CG16788,Dmel\RnpS1,RRM-domain protein
FBgn0037709,,CG8199,Dmel\CG8199,
FBgn0027950,Methyl-CpG binding domain protein-like,CG8208,Dmel\MBD-like,"dMBD2/3, MBD2/3, MBD3, MBD2"
FBgn0037712,,CG16789,Dmel\CG16789,
FBgn0037717,,CG8301,Dmel\CG8301,
FBgn0037718,P58IPK,CG8286,Dmel\P58IPK,
FBgn0037720,,CG8312,Dmel\CG8312,
FBgn0037722,,CG8319,Dmel\CG8319,
FBgn0037723,Spermidine Synthase,CG8327,Dmel\SpdS,
FBgn0012344,Diuretic hormone 44,CG8348,Dmel\Dh44,"Dh, DH44, Diuretic hormone, CRF-like peptide, Drm-DH"
FBgn0037727,Neprilysin-like 12,CG8358,Dmel\Nepl12,
FBgn0037728,p23,CG16817,Dmel\p23,
FBgn0028997,nmdyn-D7,CG8362,Dmel\nmdyn-D7,
FBgn0037731,,CG18542,Dmel\CG18542,
FBgn0052939,,CG32939,Dmel\CG32939,
FBgn0003886,α-Tubulin at 85E,CG9476,Dmel\αTub85E,"α-tubulin, tubulin, α tubulin, Tub, α-Tub85E"
FBgn0002431,hyperplastic discs,CG9484,Dmel\hyd,"l(3)c43, c43"
FBgn0037734,trabid,CG9448,Dmel\trbd,
FBgn0051352,Uncoordinated 115a,CG31352,Dmel\Unc-115a,"dunc-115, unc-115"
FBgn0053105,p24-related-2,CG33105,Dmel\p24-2,p24
FBgn0260463,Uncoordinated 115b,CG31332,Dmel\Unc-115b,unc-115
FBgn0069242,eclair,CG33104,Dmel\eca,
FBgn0037730,,CG9444,Dmel\CG9444,
FBgn0037724,Frost,CG9434,Dmel\Fst,
FBgn0003334,Sex comb on midleg,CG9495,Dmel\Scm,"Sex combs on midleg, Su(z)302"
FBgn0005585,Calreticulin,CG9429,Dmel\Calr,"Crc, potp"
FBgn0037721,,CG9427,Dmel\CG9427,
FBgn0027338,karyopherin α3,CG9423,Dmel\Kap-α3,"imp-α3, importin α3, Importin-α3, impα3, karyopherin a3"
FBgn0037715,,CG9399,Dmel\CG9399,
FBgn0037714,,CG9396,Dmel\CG9396,
FBgn0037713,,CG16790,Dmel\CG16790,
FBgn0037710,,CG9393,Dmel\CG9393,
FBgn0024833,"Adaptor Protein complex 1, μ subunit",CG9388,Dmel\AP-1μ,"AP-47, AP47, μ1, AP-1μ1, apm1"
FBgn0037708,,CG9386,Dmel\CG9386,
FBgn0037705,murashka,CG9381,Dmel\mura,
FBgn0000244,blistery,CG9379,Dmel\by,"tensin, 3R-B, CT26639"
FBgn0014023,mitochondrial ribosomal protein L47,CG9378,Dmel\mRpL47,Rlc1
FBgn0003205,Ras oncogene at 85D,CG9375,Dmel\Ras85D,"Ras, Ras1, Dras1, RasV12, D-Ras"
FBgn0014380,Rho-like,CG9366,Dmel\RhoL,"Mes1, Drac3, DRhoL"
FBgn0037698,,CG16779,Dmel\CG16779,
FBgn0037737,Pinin,CG8383,Dmel\Pnn,
FBgn0051415,,CG31415,Dmel\CG31415,
FBgn0005777,Protein phosphatase D3,CG8402,Dmel\PpD3,"PP5, Pp5-85E"
FBgn0037743,"Alg12 alpha-1,6-mannosyltransferase",CG8412,Dmel\Alg12,
FBgn0037751,matotopetli,CG8484,Dmel\topi,
FBgn0037753,,CG12947,Dmel\CG12947,
FBgn0037754,,CG8500,Dmel\CG8500,
FBgn0037756,,CG8507,Dmel\CG8507,
FBgn0037757,,CG8516,Dmel\CG8516,
FBgn0037759,,CG8526,Dmel\CG8526,
FBgn0037761,,CG8534,Dmel\CG8534,
FBgn0037762,elongase F,CG16905,Dmel\eloF,
FBgn0037770,Arginine methyltransferase 4,CG5358,Dmel\Art4,"DART4, Carmer"
FBgn0037766,tipE homolog 1,CG12806,Dmel\Teh1,
FBgn0037765,,CG9458,Dmel\CG9458,
FBgn0037763,,CG16904,Dmel\CG16904,
FBgn0037760,F-box protein 11,CG9461,Dmel\FBXO11,FBX011
FBgn0037758,,CG9467,Dmel\CG9467,
FBgn0037755,,CG12945,Dmel\CG12945,
FBgn0002868,Metallothionein A,CG9470,Dmel\MtnA,"Mtn, metallothionein"
