Symbol,Alias
CanB,"BcDNA:RH11383, CG4209, CNB, Can, DmelCG4209, canB-4F, dCnB1"
CG14551,DmelCG14551
CG14568,"BcDNA:RE21944, DmelCG14568"
CG30463,"CG15713, CG8456, CG8463, DmelCG30463"
CG14569,DmelCG14569
ORMDL,"CG14577, DmelCG14577"
Tfb1,"CG8151, DmelCG8151, Dmp62, TfBl, l(2)06949, l(2)06950, p62"
Ir20a,"CG14584, DmelIR20a, DmelCG14584"
CG3808,DmelCG3808
CG14589,DmelCG14589
RpL38,"41Af, 41Ag, BcDNA:RE42506, CG18001, CG40278, DmelCG18001, E-2b, GroupIV, M(2)41A, M(2)S2, M(2)S3, Rp L38, l(2)41Af, l(2)41Ag, l(2)41Ai, l(2)EMS4-72, l(2)EMS45-72, l(2R)A"
CG14598,DmelCG14598
CG14606,DmelCG14606
Ufd1-like,"CG6233, DmelCG6233, UFD1, Udf1, Ufd-1, Ufd1 like, Ufd1L, anon-WO0118547.405, dUFD1L, dUfd1"
CG14609,DmelCG14609
dalao,"BAF57, BAP 111, BAP111, CG7055, DmelCG7055, anon-EST:Liang-1.83, clone 1.83"
CG17325,"BcDNA:RH02271, DmelCG17325, Dromel_CG17325_FBtr0081102_mORF"
simj,"CG32067, CG7983, CG8000, DmelCG32067, anon-WO0118547.361, dp66, l(3)01814, l(3)j4A5, l(3)rN672, p66, p66/68-like"
4E-T,"CG11097, CG11232, CG32016, Dm4E-T, DmelCG32016"
Rpn12,"CG4157, DmelCG4157, S14, dRpn12, p30"
RpS8,"BcDNA:RH06886, BcDNA:SD17528, CG7808, DmelCG7808, Rp S8, S8, anon-EST:Liang-1.56, anon-EST:fe1A2, chr3R:25688477..25688608, clone 1.56"
Cp110,"CG14617, CG32501, DCP110, DmelCG14617"
CG8117,"DmelCG8117, dCrsp70"
CG5189,"DmelCG5189, dp14, p14"
Cfp1,"CG17446, CXXC1, DmelCG17446, dCXXC1, dCfp1"
CG3323,DmelCG3323
CG43867,"CG12467, CG14632, CG14633, CG42248, DmelCG43867, Dmel_CG12467, Dmel_CG14632, Dmel_CG14633, Dmel_CG42248, EG:34F3.1, EG:34F3.2"
drk,"24/1, CG6033, DmelCG6033, Drk/Grb2, E(sev)2B, GRB2, Grb-2, Grb/drk, Grb2/drk, P1112, Su(sev)R1, crkl, l(2)10626, l(2)k13809"
CG14634,DmelCG14634
CG2017,"CG 2017, DmelCG2017"
abs,"CG14637, DmRH23, DmelCG14637, anon-WO0118547.315, l(3)00620, l(3)04505, l(3)06862, l(3)06863"
CG6066,DmelCG6066
ey,"CG1464, DPax-6, DmelCG1464, EYEL, Ey/Pax6, OK107, Pax-6, Pax6, eye, l(4)102CDh, l(4)102CDr, l(4)33"
IntS9,"CG5222, DmelCG5222, Int9"
CG2701,"DmelCG2701, EG:95B7.9, II, anon-3Bd"
CG5869,"BG:DS02740.9, BcDNA:SD03793, DS02740.9, DmelCG5869"
TwdlG,"CG14643, DmelCG14643"
CG9776,"BcDNA:LD19168, DmelCG9776"
CG14645,DmelCG14645
CG30403,"BcDNA:RE26725, DmelCG30403"
CG14647,DmelCG14647
MED20,"CG18267, CG18780, DmelCG18780, Srb2/TRFP, Tmr, TrfP, dTrap26, dTrfp, l(2)28DE, p29"
CG14658,DmelCG14658
CG3819,"CT12789, DmelCG3819"
SelD,"142926_at, CG8553, Dm SelD, Dm-SelD, DmelCG8553, SPS1, SeS, anon-WO0172774.145, anon-WO0172774.146, dSPS1, l(2)SH1599, l(2)SH2 1599, l(2)k12303, ptf1, ptuf, ptuf1, selD/sps1"
Ama,"BG:DS00276.6, CG2198, CT7244, DmelCG2198, M109"
CG14684,DmelCG14684
CG8449,DmelCG8449
Cap-H2,"CG14685, CapH2, DmelCG14685, dCap-H2"
CG5612,DmelCG5612
CG14688,DmelCG14688
CG14692,DmelCG14692
CG2200,DmelCG2200
rpr,"CG4319, DmelCG4319, anon-WO0162936.19, rp"
CG14696,DmelCG14696
Pli,"CG5212, DmelCG5212, PAP"
Gycbeta100B,"CG1470, Dgc beta 1, Dgcbeta1, DmelCG1470, Gycbeta-100B, dgcb1, sGCbeta1, sGCbeta100B"
CG31111,"CG13649, DmelCG31111"
PGRP-LB,"CG14704, DmelCG14704"
CG16790,DmelCG16790
CG14711,DmelCG14711
CG14712,DmelCG14712
CG42327,"CG14713, CG14714, CG18479, DmelCG42327, Dmel_CG14713, Dmel_CG14714, anon-WO0118547.710"
CG8093,"CT22063, DmelCG8093"
I-t,"CG14719, DmelCG14719, pp1d6"
CG31457,"CG4639, DmelCG31457"
Nmd3,"CG3460, DmelCG3460, EG:152A3.1, II, TcD12, TcD13, anon-2Eb, dNmd3"
CG9313,DmelCG9313
Tk,"CG14734, DTK, DTK-1, DTK-2, DTK-3, DTK-4, DTK-5, DTK-6, DTK1, DmelCG14734, Drm-TK, Drm-TK-1, Drm-TK-2, Drm-TK-3, Drm-TK-4, Drm-TK-5, Drm-TK-6, TAP-5, TK-1, Tyk"
CG14739,DmelCG14739
CG1792,DmelCG1792
akirin,"CG8580, DmAkirin, DmelCG8580, EP(3)0906, anon-WO0118547.397, bhr"
Es2,"CG1474, DmelCG1474, es"
CG16890,"BG:DS00797.4, DmelCG16890"
CG7352,DmelCG7352
RpL13A,"CG1475, DmelCG1475, L13A, L13a2, M(3)83B, Rp L13A, anon-EST:Posey125, anon-EST:fe1A5, bs25f04.y1, chr3R:1451210..1451407"
Eap,"CG3594, DmelCG3594"
Arpc5,"CG9881, DmelCG9881, P16-ARC, p16"
Vps25,"CG14750, DmelCG14750, ESCRT-I, ESCRT-II, dVps25, l(2)44Db, l(2)k08904"
Vps20,"CG4071, DmVPS20, DmelCG4071, ESCRT-III, anon-EST:Posey40"
lsn,"CG6637, DmelCG6637, Vps22"
CG14756,DmelCG14756
MED1,"CG7162, DmelCG7162, FBgn0037109, Med1/SOP3/TRAP220, Trap220, dTRAP220"
Cp36,"CG1478, DmelCG1478, Dms36, E4, S36, dec-2, dec2, dec[[2]], fs(1)C2, s36-1, s365"
Pino,"CG4710, DmelCG4710, anon-WO0118547.131, smi21F"
CG7379,"DmelCG7379, ING1"
CG5537,"DmelCG5537, anon-EST:Posey275, uprt"
MED18,"CG14802, DmelCG14802, EG:63B12.13, Srb5/Med28b, dp28b, p28, p28/CG14802"
CG14803,"DmelCG14803, EG:63B12.9"
CG17650,DmelCG17650
Obp99a,"99a, BcDNA:RH70762, CG18111, DmelObp99a, DmelCG18111"
deltaCOP,"63B12S, ARCN1, Arch, CG14813, DM63B12S, Delta COP, DmelCG14813, EG:63B12.10, ESTS:63B12S, anon-WO03040301.246, delta-Cop, l(1)G0051, l(1)G0301, l(1)G0450"
cyp33,"CG4886, Dcyp33, DmelCG4886"
CG14814,"DmelCG14814, EG:63B12.6"
smt3,"CG4494, Dm0342, DmSUMO-1, DmSmt3, DmelCG4494, SUMO, anon-EST:Posey240, dSmt3, l(2)04493, l(2)SH0182, l(2)SH2 0182"
side,"CG12510, CG13973, CG13974, CG13975, CG13979, CG31062, CT33527, CT33528, DmelCG31062, Doe"
chas,"CG12987, CG12988, CG12989, CG32556, DmelCG32556, EP-631"
CG3605,DmelCG3605
CG6178,DmelCG6178
Asph,"BAH/humbug, CG18658, CG8421, DmelCG8421"
CG3894,"CG9197, DmelCG3894"
CG14818,"BcDNA:RE09176, BcDNA:RH52516, CT34631, DmelCG14818, EG:63B12.12"
Abi,"Abi-1, Ablphilin, CG9749, DmelCG9749, dAbi"
CG9951,DmelCG9951
CG14820,DmelCG14820
CG17109,DmelCG17109
CG3348,DmelCG3348
mei-P22,"CG14827, DmelCG14827"
CG14829,DmelCG14829
Nup54,"CG8831, DmelCG8831, Nup53"
CG14830,DmelCG14830
CG2617,"38E.2, DmelCG2617"
pio,"CG30167, CG3541, DmelCG3541"
CG4582,DmelCG4582
CG14850,DmelCG14850
morgue,"BcDNA:GH02435, CG15437, DmelCG15437, FBXO18"
CG14855,DmelCG14855
CG9757,"DmelCG9757, GCR 20, GCR-20, GCR20, Pen50DE, anon-Pen50DE"
CG15712,DmelCG15712
CG7712,"BcDNA:RE25411, DmelCG7712"
CG14860,DmelCG14860
CG4747,"BEST:GH19401, BEST:LD22483, BEST:LD29743, Dm_AI388468, DmelCG4747, LD29743"
hec,"CG4395, DmelCG4395, anon-WO0170980.1, anon-WO0170980.2"
GstO3,"CG6776, DmelCG6776, T14"
CG14866,DmelCG14866
AdamTS-A,"CG14869, CG6107, CT19033, DmelCG14869"
CG15167,DmelCG15167
CG15631,DmelCG15631
unc-119,"CG1659, DmUNC-119, DmelCG1659, Unc119, anon-EST:Posey123, dm unc-119"
CG3939,"BEST:SD07039, DmelCG3939, EG:140G11.5"
CG15172,DmelCG15172
tinc,"CG14319, CG14320, CG31246, CG31247, CG7723, DmelCG31247, Dmel_CG31246"
CG5877,DmelCG5877
CG6254,DmelCG6254
CG14870,DmelCG14870
CG14879,"BcDNA:RE20991, DmelCG14879"
CG14882,"BcDNA:SD10961, DmelCG14882"
Sug,"CG7334, DmelCG7334"
CSN5,"BcDNA.LD14392, BcDNA:LD14392, CG14884, CH5, CSN-5, DCH5, DmelCG14884, JAB1, JAB1/CSN5, JadBp, Q9XZ58, l(3)89Cf, l(3)L4032, l(3)M203, quo"
CSN6,"CG6932, CH6, Dch6, DmelCG6932, Q9VCY3"
CG7916,"BG:DS00941.13, CT23894, DmelCG7916, LP05416"
Gyc-89Da,"CG14885, DmelCG14885, GYCb"
Atg6,"Beclin-1, Beclin1, CG5429, DmAtg6, DmelCG5429, beclin, l(3)00096"
ERR,"CG7404, DmelCG7404, NR3B4, dERR"
Cpsf73,"CG7698, CPSF-73, DmelCG7698, dCPSF-73"
CG14894,DmelCG14894
CG5703,"BEST:LP01573, CG 5703, DmelCG5703"
CG14898,"BcDNA:RE23580, DmelCG14898"
Usp7,"CG1490, DmelCG1490, Q9VYQ8, Usp-7"
alpha-catenin-related,"CG2987, DmelCG2987"
mr,"APC2, APC2/mr, CG3060, DmelCG3060, dAPC2"
Scp2,"CE, CG14904, Cex, Dcabp-A.2, DmelCG14904, JHDK, dSCP2"
CG14905,DmelCG14905
CG42747,"CG14910, CG14911, DmelCG42747, Dmel_CG14910, Dmel_CG14911"
AstC,"ASC, AST-C, Ast2, BEST:GH06087, BcDNA:RH36507, CG14919, CG149199, DAP-C, DmelCG14919, Drm-AST-C, FLT, M-ASH, gh06087"
CG4998,"DmelCG4998, SPH66"
spz4,"CG14928, CT34755, DmelCG14928"
Mfe2,"CG3415, DmMFE-2, DmelCG3415, MFE-2"
CG14932,DmelCG14932
CG14933,DmelCG14933
Mal-B2,"CG14935, DmelCG14935, Drome_B2, FBgn0032382, mal_B2"
Tsp33B,"CG14936, Dm.Tsp33B, DmelCG14936"
Tsp86D,"CG4591, Dm.Tsp86D, DmelCG4591"
mTTF,"BG:DS01068.4, CG18124, DS01068.4, DmTTF, DmelCG18124"
CG14961,DmelCG14961
krimp,"CG15707, DmelCG15707, mtc"
dia,"38E.16, CG1768, Dias, DmelCG1768, l(2)k07135, ms(2)04138"
CG14965,"63BC-T3, DmelCG14965, ORF1, anon-63BC-T3, dmLD47616p"
CG9072,DmelCG9072
CG14977,"BcDNA:RH34338, DmelCG14977"
Cdk4,"8-6, CDK4/6, CG5072, DmCdk4, DmelCG5072, Pk53C, Pk?7, cdk, dCdk4, l(2)05428, l(2)0671, l(2)k06503, l(2)s4639, l(2)sh0671"
CG14985,DmelCG14985
CG9992,DmelCG9992
CG14989,"BcDNA:GH06302, DmelCG14989"
nmd,"CG5395, DmCG5395, DmelCG5395, Msp, Msp1, anon-EST:Liang-1.79, clone 1.79, l(2)08774, ms(2)4, ms(2)ry4"
Nbr,"CG9247, DmelCG9247"
Ack,"ACK2, BcDNA:GH10777, CG14992, DACK, DmelCG14992, p145"
SH3PX1,"CG6757, DSH3PX, DSH3PX1, DmelCG6757, p63"
CG14995,"CT34848, DmelCG14995, NEST:bs15f01, NEST:bs17f06, anon-WO0140519.252, bs17f06.y1"
CG15208,"DmelCG15208, anon-WO0140519.64, lincRNA.977"
RfC4,"154910_at, BEST:GH24992, CG14999, DmRFC4, DmelCG14999, RFC40, l(3)64Ai, l(3)A1, l(3)Rfc4, l(3)SG13, l(3)SH17, l(3)dsl-1, l(3)dsl1, l(3)e20, l(3)rfc40, rfc, rfc[40]"
RfC3,"CG5313, DRFC, DmRFC3, DmelCG5313"
Teh2,"CG15004, DmelCG15004"
Cpr64Aa,"CG15006, DmelCpr64Aa, DmelCG15006"
vlc,"CG8390, DmelCG8390, X, anon-41Fa, anon-WO0118547.98, l(2)07022"
Cpr64Ac,"CG15008, DmelCpr64Ac, DmelCG15008"
barc,"CG6049, DmelCG6049, Tat-SF1, cus2"
CG15025,DmelCG15025
CG43737,"CG15028, CG15029, Dm_X:77844, DmelCG43737, Dmel_CG15028, Dmel_CG15029"
CG7229,"7229, DmelCG7229"
CG15036,DmelCG15036
CG8417,DmelCG8417
CG15056,DmelCG15056
CG15456,DmelCG15456
CG15067,"DmelCG15067, anon-EST:Posey85"
CG15068,"CT34939, DmelCG15068"
CG4115,DmelCG4115
CG7158,DmelCG7158
Cpr65Ec,"CG8634, DmelCpr65Ec, DmelCG8634"
PK2-R1,"CG8784, Dm CG8784, DmelCG8784, anon-WO0170980.190, anon-WO0170980.191"
RnrS,"CG8975, DmRNR2, DmelCG8975, RNR2, anon-WO0118547.148, dRNR2"
Os-C,"CG3250, DmelCG3250"
CG15093,"CG 15093, CT34968, DmelCG15093"
CG18128,DmelCG18128
Jheh1,"142196_at, BEST:GH06241, CG15101, DmelCG15101, JH, JHEH"
Jheh2,"CG15102, CT34977, DmEH, DmelCG15102"
CstF-64,"CG7697, CStF 64, CstF64, DmelCG7697, dCstF64"
c-cup,"CG15623, DmelCG15623"
CG9837,DmelCG9837
Oxp,"CG18186, DmelCG18186"
mip40,"CG15119, DmelCG15119, p40"
Ir56b,"CG15121, DmelIR56b, DmelCG15121"
EF2,"CG2238, DmelCG2238, EF-2, EF-2b, EF2b, anon-EST:Liang-1.44, chr2L:21668915..21669164, clone 1.44, eEF2"
Adf1,"Adf 1, Adf-1, CG15845, DmelCG15845, l(2)01349, l(2)04065, nal"
Cdk5,"CG8203, DmCdk5, DmelCG8203"
CG15125,DmelCG15125
CG15126,DmelCG15126
CG1513,DmelCG1513
Vap-33A,"BcDNA:GM03307, CG5014, DVAP, DVAP-33A, DVAP33A, DmelCG5014, VAP, VAP-33, VAP-33-1, VAP33-A, VAPB, Vap33-1, anon-EST:Liang-2.42, anon-WO03040301.124, clone 2.42, l(1)G0231"
fan,"CG7919, DmelCG7919"
CG15130,"38C.48, DmelCG15130"
CG6726,DmelCG6726
CG18476,"CG17822, DmelCG18476"
CG15152,DmelCG15152
CG15153,DmelCG15153
CG9304,DmelCG9304
Socs36E,"CG15154, DmelCG15154, SOCS, anon-EST:Liang-2.2, clone 2.2, dSOCS, dmSocs36E, socs60E1"
CG15161,"DmelCG15161, IFT46"
CG15169,DmelCG15169
sgg,"CG2621, DMSGG3, DMZ3K25Z, Dm Zw3, DmelCG2621, EG:155E2.3, EG:BACR7C10.8, GSK, GSK-3, GSK-3B, GSK-3beta, GSK-3betaSgg, GSK3, GSK3-beta, GSK3Beta, GSK3beta/SGG, GSK3betagr, GSKbeta, SGG/GSK3b, Sgg/GSK-3b, Sgg/Zw3/GSK3, ZW-3, ZW3, Zw3-sh, Zw3/GSK3, Zw3[sgg], anon-WO03040301.254, l(1)3Ba, l(1)G0055, l(1)G0183, l(1)G0263, l(1)G0335, l(1)zw3, sgg-zw3, sgg/zw3, sgg10, sgg39, sgg46, zw3(sgg), zw3/GSK3beta, zw3/sgg, zw[3]"
Prosalpha7,"1519, Alpha-7, Alpha7, CG1519, CPalpha7, DmelCG1519, PSA3_DROME, alpha7_dm"
CG4707,DmelCG4707
Prosalpha6,"143314_at, Alpha-6, CG4904, DmelCG4904, PROS-35, PROS-Dm35, PSMA1, Pros35, alpha6, alpha_dm, anon-SAGE:Wang-116, pros 35"
CG43155,"CG15194, CG1756, DmelCG43155, Dmel_CG15194, Dmel_CG1756, anon-WO0109301.51, anon-WO0109301.52, anon-WO0109301.9"
CG15198,DmelCG15198
Spn42Dc,"CG9455, DmelCG9455"
CG15199,"DIGF-3, DmelCG15199"
CG7409,"CT16169, DmelCG7409"
CG7251,"DmelCG7251, anon-WO0140519.103, bs11h10.y1"
CG2258,DmelCG2258
ninaA,"CG3966, DmelCG3966, ninA"
nemy,"CG13147, CG8776, CytB561, DmelCG8776, Dmel_CG8772, P153, anon-WO0140519.146"
CG43921,"BcDNA:GH02424, CG11146, CG15729, CG32653, CG42251, DmelCG43921, Dmel_CG11146, Dmel_CG15729, Dmel_CG32653, Dmel_CG42251, lincRNA.981"
CG6724,DmelCG6724
CG8159,DmelCG8159
CG1523,DmelCG1523
CG15239,DmelCG15239
Acp95EF,"Acp, CG17924, DTA-D, DTA-E, DmelCG17924, Mst95E, Mst95F, mst 316, mst(3)ag-3, mst-3, mst316, mst316F"
CG5823,DmelCG5823
CG15249,DmelCG15249
Atg16,"CG15513, CG18040, CG18683, CG31033, DmelCG31033"
CG32485,"CG2159, DmelCG32485"
Pburs,"A, Bur beta, Burs beta, Bursbeta, CG15284, DmelCG15284, bur &gr;, burs-beta, pads-b, pu, pup"
wb,"&agr1, 2, 2Lan, 2]], A1, BEST:CK02229, BG:DS03792.1, BG:DS03792.2, CG15288, CG32970, CG42677, CK02229, CT35236, DLAM, DmelCG42677, Dmel_CG15288, Dmel_CG32970, LM-A/alpha2, LanA1, alpha[[1, fus5, l(2)09437, l(2)34Fb, l(2)br1, l34Fb"
shg,"CADH, CG3722, CT12481, Cad, CadE, D E-cad, D-CAD2, D-cad, DCAD, DCAD2, DE, DE Cad, DE Cadh, DE-CAD, DE-CAD2, DE-Cadh, DE-Cadherin, DEC, DECAD, DECadh, DE[cyto], DmelCG3722, E-CAD, E-Ca, E-Cadherin, ECAD, ECad2, ECadh, N-cad, com5, gp150, l(2)10469, l(2)k03401, l(2)k10220, shg/DE-Cad"
l(2)05714,"CG8886, DmelCG8886, l(2)05715"
CG43347,"BcDNA:RH11383, CG15295, CG9817, DmelCG43347, Dmel_CG15295, Dmel_CG9817"
Zip88E,"CG4334, DmelCG4334, dZip88E"
ial,"ABK, Aur B, AurB, Aurora B, Aurora-B, CG6620, DmAIRK2, DmAurB, DmAuroraB, DmelCG6620, IAL1, ial/AurB"
Or9a,"9E.1, 9a, CG15302, DOR95, DmelCG15302"
CG15330,DmelCG15330
CG15336,DmelCG15336
CG15337,DmelCG15337
Dip1,"CG15367, DmelCG15367"
CG18011,"CG17847, DmelCG18011"
CG3689,"CF I[[m]]25, DmelCG3689"
NimB4,"BG:DS00180.8, CG16882, CG33115, CT37470, DS00180.8, DmelCG33115"
CG43689,"CG15376, CG32778, CG32790, CG43284, CG4985, DmelCG43689, Dmel_CG15376, Dmel_CG32778, Dmel_CG32790, Dmel_CG43284"
dgt2,"CG16969, DmelCG16969"
tmod,"1309/10, CG11493, CG1539, CG15540, CT3919, CT41421, DmelCG1539, E42, l(3)00848, l(3)S130910, spdo"
Spindly,"CG15415, DmelCG15415"
CG17018,"BcDNA:RE40762, CG17410, DmelCG17018"
CG17600,"CG17602, DmelCG17600"
phl,"11-29, C110, CG2845, D-RAF, D-raf1, DRaf, DRaf1, DmelCG2845, Draf-1, EG:BACH48C10.3, RAF, Raf/phl, Raf1, l(1)2Fe, l(1)G0475, l(1)ph, l(1)phl, l(1)pole hole, l(1)polehole, l(1)polehole/draf, l(1)raf, lincRNA.937, ph, ph1, raf-1, rafl"
snRNP-U1-C,"BcDNA:RH29440, C, CG5454, DmelCG5454, U1C, dU1-C, snRNP-U1, snRNPC"
CG8086,"CG8113, DmelCG8086"
CG15423,DmelCG15423
CG15425,"DmelCG15425, anon-SAGE:Wang-056"
CR17024,"CG17024, DmelCR17024"
CG15435,DmelCG15435
Tim9a,"CG1660, DmelCG1660, Tim9"
CG7139,"BcDNA:LD21293, DmelCG7139, anon-WO0118547.415"
CG9928,"BcDNA:RH70154, CT27834, DmelCG9928"
RpS2,"CG5920, Dm01335, DmelCG5920, Rp S2, S2, anon-EST:Posey202, dS2, l(2)03848, l(2)k04603, sop"
CG7049,DmelCG7049
CG15450,DmelCG15450
betaTub60D,"143391_i_at, 3t, B3t, BETA 60D, CG3401, D.m.BETA-60D, DTB3, Dmbeta3, DmelCG3401, T, Tub, Tub60D, beta-Tub60D, beta-Tub6D, beta-tub, beta3, beta3 TU, beta3-Tub, beta3-tubulin, beta3TUB, beta3t, beta60C, betaTub, betaTub3, betaTub60C, beta[[3]] tubulin, beta[[3]]-Tub, beta[[3]]-tubulin, p50, p50/tubulin, p53, p53/tubulin"
RunxB,"CG15454, CG15455, CG42267, DmelCG42267, Dmel_CG15454, Dmel_CG15455"
CG30122,"CG18610, CG5477, DmelCG30122, LD11002, SAF-A"
CG31958,"CG10022, DmelCG31958"
Tm1,"1305/10, 2299, BcDNA:GH09289, BcDNA:LD37158, BcDNA:SD21996, CG4898, Dm Tm1, Dm TmH33, Dm TmH34, DmTm1, DmelCG4898, PmI, TM, TMII, TmH, TmH-33, TmH-34, TmH33, TmH34, Tmr33, Tmr34, TnH, TnH-33, TnH-34, cTM, cTmII, chr3R:11122272..11122408, l(3)02299, l(3)S130510, l(3)s2958, mTmII, region 3, tropomyosin"
CG15472,DmelCG15472
sip2,"CG9188, DmelCG9188"
CG15475,"38D.19, DmelCG15475"
lea,"CG14347, CG14348, CG5481, CG5574, CT17326, D-Robo2, DmelCG5481, ROBO2, Robo 2, Robo-2, Robo2 (Lea), anon-EST:Liang-1.75, clone 1.75, dRobo-2, fus4"
CG16896,DmelCG16896
CG3649,DmelCG3649
RpS3,"6779, CG6779, DmRpS3, DmelCG6779, M, M(3)124, M(3)95A, M(3)B, M(3)B2, M(3)Fla, M(3)w, M(3R)w, M95A, M[[w]], Mw, RS3, Rp S3, S3, X72921, chr3R:19185518..19185701, dS3"
Ski6,"CG15481, DmelCG15481, Rrp41, dRrp41, dSki6"
Prosalpha6T,"5648, Alpha6T, CG5648, DmelCG5648"
CG1550,DmelCG1550
CheB93a,"CG15503, DmelCG15503"
CG16904,DmelCG16904
dmrt99B,"CG15504, DmelCG15504"
CG15515,"BcDNA:RE21592, DmelCG15515"
Cpr49Ae,"CG8505, DmelCpr49Ae, DmelCG8505"
Capa,"CAP, CAP-2b, CAP2B-1, CAP2B-2, CAP2B-3, CAP2B/pyrokinin, CAP2b, CAPA-PK, CAPA-PVK-1, CAPA-PVK-2, CAPA-PVK/PK, CAP[[2b]], CG15520, CPPB, Cap-1, Cap-2, Cap-3, Capa-1, Capa-2, DmelCG15520, Drm-CAP-1, Drm-CAP-2, Drm-CAP2b/MT, Drm-MT, Drm-PK, Drm-PK-1, Drm-PVK, Drm-PVK-1, Drm-PVK-2, Drm-capa-1, PVK-2, capa 2, capa-3, pyrokinin/PBAN-like"
Sas-6,"CG15524, DSAS-6, DSas6, DmelCG15524, SAS6"
CG6607,DmelCG6607
CG15525,"BcDNA:SD23244, DmelCG15525"
CG15526,DmelCG15526
Pp1alpha-96A,"96A, CG6593, DmPp1-96A, DmelCG6593, PP1, PP1 96A, PP1 alpha96a, PP1alpha96A, PP1alpha[[1]], PP1c, PP1c 96A, Pp1-96A"
CG15530,DmelCG15530
Taz,"CG8766, DmelCG8766, dTAZ, tafazzin"
CG15531,DmelCG15531
CG4020,DmelCG4020
unk,"CG4620, DmelCG4620"
CG15544,DmelCG15544
CG1894,"DmelCG1894, dmHAG407"
mab-21,"CG4746, DmelCG4746, mab-2"
CG15564,DmelCG15564
lat,"CG4088, DmORC3, DmelCG4088, ORC, ORC3, l(2)49Fd, l(2)vr6, vr-6, vr6"
RhoBTB,"28574635, CG5701, DmelCG5701, RhoGTPase, RhoX"
CG5780,"DmelCG5780, IFT43"
CG15577,DmelCG15577
CG6808,"CG31372, DmelCG6808"
Trn-SR,"CG2848, DmelCG2848, TNPO3, anon-EST:Posey294, dTRN-SR"
CG15580,DmelCG15580
Osi1,"CG15585, DmelCG15585"
Osi24,"CG15589, DmelCG15589"
Osi10,"CG15593, DmelCG15593"
CG15615,DmelCG15615
RpL12,"CG3195, DmelCG3195, L12, Q9W1B9_DROME, Rp L12, anon-EST:Posey236"
CG15618,DmelCG15618
Ubc-E2H,"CG2257, DmelCG2257, Ubc-E2Hs, UbcE2H, dUbc-E2H"
TrxT,"3315, CG3315, DmTrxT, DmelTrxT, DmelCG3315"
Akt1,"AKT, AKT/PKB, PKB, CG4006, D-Akt, DAKT1, DAKT1/PKB, DAkt, DPKB, DRAC-PK, DRAC-PK66, DRAC-PK85, DmelCG4006, PKB/AKT, PKB/dAKT, RAC, RacPK, dAKT/dPKB, dAkt/PKB, l(3)04226, l(3)89Bq, p-Akt, pAkt"
CG7484,"BcDNA:SD16138, DmelCG7484, Prise 8, Sep15"
asf1,"CG9383, DmelCG9383, dASF/SF2, dASF1, l(3)76BDq"
Taf12L,"CG15632, DmelCG15632, TAF, TAF30alpha-2, TAF[[II]], TFIID, dTAF12, dTAF12L, dTAF[[II]]30a, dTAF[[II]]30alpha-2, dmTAF12L, dmTAF12b, rye"
CG2209,"DmelCG2209, anon-WO0140519.110"
Lcp3,"3, CG2043, CP3, DMLCP3, DmelLcp3, DmelCG2043, III, LCP-3, L[[3]]CP3, LcpIII"
eIF2B-gamma,"CG8190, DmelCG8190, eIF2Bgamma"
Cpr65Ea,"CG8640, DmelCpr65Ea, DmelCG8640"
EloC,"BcDNA:RH71704, CG9291, DmelCG9291, Elongin-C, ElonginC, dElongin C, l(2)SH1299, l(2)SH1520, l(2)SH2 1520"
Lhr,"CG18468, DmelCG18468, HP3, mel-Lhr"
cav,"1G5, Anon1G5, CG6219, Caravaggio, DmelCG6219, HOAP, anon fe 1G5, anon-EST:fe1G5, p55"
HP4,"BcDNA:GM01628, CG8044, DmelCG8044, Hip"
CG15638,"BG:BACR48E02.1, DmelCG15638"
CG15646,DmelCG15646
raps,"CG5692, DmelCG5692, PINS, Rad, rapsyn"
CG15651,DmelCG15651
Yippee,"CG1989, DmelCG1989"
RpS20,"CG15693, DmelCG15693, anon-EST:Posey111, anon-EST:Posey122, anon-EST:Posey147"
ranshi,"CG9793, DmelCG9793"
CG15705,DmelCG15705
CG9967,DmelCG9967
CG15717,DmelCG15717
CG8525,DmelCG8525
Chrac-16,"15736, 20K protein, BcDNA:RE59557, CG15736, CHRAC, CHRAC16, DmelCG15736, joey"
wisp,"CG15737, DmCG15737, DmelCG15737, TAMP, fs(1)M19"
CG2116,DmelCG2116
CG15741,DmelCG15741
ABCB7,"CG7955, DmelCG7955, dABCB7"
hale,"CG7570, DmelCG7570"
Fbp2,"CG3763, DmelCG3763, Fbp-2, P6, T19"
JhI-1,"CG3298, DmelCG3298, RNZ, dRNase Z, dRNaseZ, dtRNaseZ, tRNAse Z"
CG15760,DmelCG15760
RpS9,"CG3395, DmelCG3395, Rp S9, RpL11, S9, chr3L:9483841..9483937, chr3L:9484246..9484474"
l(3)03670,"0205/14, 0353/13, 0812/02, 0966/01, 1274/08, CG1715, DmelCG1715, anon-l, l(3)3670, l(3)96601, l(3)S127408, pMY8, x94917"
DNApol-delta,"5949, CAA61369, CG5949, DNA Pol Delta, Dm Poldelta, DmelCG5949, Poldelta, dnapol delta, l(3)72Ac"
Tre1,"BEST:LD12308, CG3171, DmelCG3171, LD12308, Tre, Tre-1, anon-WO0170980.16, anon-WO0170980.17, anon-WO0170981.1, sctt"
CG1578,DmelCG1578
Vsx2,"CG15781, CG15782, CG15783, CG33980, Chx2, DChx2, DmelCG33980, dVsx2"
CG4835,DmelCG4835
